gbifID,kingdom,species,locality,occurrenceStatus,lat,long,xy_uncert_m,eventDate,collectionCode,issue
954031624,Animalia,Setophaga coronata,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2013-05-21T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
954031610,Animalia,Corvus corax,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2013-05-21T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
954031237,Animalia,Strix varia,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2013-05-21T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
954002091,Animalia,Troglodytes pacificus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2013-05-21T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
954002089,Animalia,Corvus brachyrhynchos,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2013-05-21T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
954002088,Animalia,Turdus migratorius,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2013-05-21T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
954002013,Animalia,Ixoreus naevius,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2013-05-21T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
954002003,Animalia,Setophaga townsendi,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2013-05-21T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
594907304,Animalia,Molothrus ater,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2011-04-14T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
590974517,Animalia,Euphagus cyanocephalus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2011-04-14T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
590968020,Animalia,Larus glaucescens,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2011-04-14T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
590966942,Animalia,Haliaeetus leucocephalus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2011-04-14T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
587028888,Animalia,Corvus corax,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2011-04-14T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
587025255,Animalia,Corvus brachyrhynchos,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2011-04-14T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
578918865,Animalia,Agelaius phoeniceus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2011-04-14T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
4127460021,Plantae,Corallorhiza mertensiana,,PRESENT,49.792897,-123.127747,NA,2023-05-27T11:32:44Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4127206722,Plantae,Dicentra formosa,,PRESENT,49.796167,-123.139786,3013,2023-05-27T10:00:47Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4126990401,Plantae,Rubus ursinus,,PRESENT,49.796167,-123.139786,3013,2023-05-27T10:00:50Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4112057062,Plantae,Linnaea borealis,,PRESENT,49.785714,-123.13682,173,2023-05-07T16:23:05Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4112043065,Plantae,Plagiomnium insigne,,PRESENT,49.785714,-123.13682,1494197,2023-05-07T16:16:02Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4112025113,Plantae,Acer circinatum,,PRESENT,49.785714,-123.13682,173,2023-05-07T16:25:17Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4111979093,Plantae,Viola sempervirens,,PRESENT,49.785714,-123.13682,173,2023-05-07T16:08:51Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4111972089,Plantae,Dicentra formosa,,PRESENT,49.785714,-123.13682,173,2023-05-07T16:15:47Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4111925127,Plantae,Goodyera oblongifolia,,PRESENT,49.785714,-123.13682,173,2023-05-07T16:13:43Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4111906039,Plantae,Mahonia nervosa,,PRESENT,49.785714,-123.13682,173,2023-05-07T16:20:31Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4111877086,Plantae,Kindbergia oregana,,PRESENT,49.785714,-123.13682,173,2023-05-07T16:05:07Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4096512375,Animalia,Araneus diadematus,,PRESENT,49.778192,-123.143172,16,2020-09-27T12:24:30Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4091749482,Plantae,Euphrasia nemorosa,,PRESENT,49.782546,-123.147116,4,2022-09-05T09:22:20Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4091593448,Plantae,Athyrium filix-femina,,PRESENT,49.795379,-123.132303,3599,2022-07-24T17:05:46Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
